CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=1 72 | 0.932522 | 0.244283 | 0.248196 | 0.240133 | 0.244066 | 0.24166 
InterfModel=1 73 | 0.932571 | 0.245236 | 0.248004 | 0.242062 | 0.24525 | 0.241183 
InterfModel=1 74 | 0.932612 | 0.244076 | 0.2481 | 0.242189 | 0.243769 | 0.240851 
InterfModel=1 75 | 0.932518 | 0.244996 | 0.24774 | 0.240152 | 0.243988 | 0.242667 
InterfModel=1 76 | 0.932484 | 0.244767 | 0.247498 | 0.239883 | 0.243759 | 0.242804 
InterfModel=1 77 | 0.932611 | 0.24445 | 0.24779 | 0.241263 | 0.246043 | 0.241821 
InterfModel=1 78 | 0.932606 | 0.245036 | 0.247827 | 0.241506 | 0.244688 | 0.243064 
InterfModel=1 79 | 0.932601 | 0.244076 | 0.248235 | 0.242707 | 0.244051 | 0.239559 
InterfModel=1 80 | 0.932616 | 0.243806 | 0.247857 | 0.24105 | 0.245636 | 0.241442 
InterfModel=1 81 | 0.932577 | 0.245002 | 0.247439 | 0.240714 | 0.243948 | 0.242435 
InterfModel=1 82 | 0.932611 | 0.244352 | 0.247997 | 0.243423 | 0.244479 | 0.241529 
InterfModel=1 83 | 0.932561 | 0.243093 | 0.24738 | 0.24212 | 0.244977 | 0.241126 
InterfModel=1 84 | 0.932515 | 0.242887 | 0.24819 | 0.241669 | 0.244311 | 0.242999 
InterfModel=1 85 | 0.932526 | 0.244591 | 0.247281 | 0.242199 | 0.244643 | 0.241664 
InterfModel=1 86 | 0.932625 | 0.244671 | 0.247879 | 0.242342 | 0.244915 | 0.244078 
InterfModel=1 87 | 0.932606 | 0.244251 | 0.24817 | 0.242798 | 0.245749 | 0.243799 
InterfModel=1 88 | 0.932523 | 0.24512 | 0.247572 | 0.240827 | 0.24511 | 0.242288 
InterfModel=1 89 | 0.932545 | 0.244107 | 0.247463 | 0.242846 | 0.244507 | 0.24207 
InterfModel=1 90 | 0.932556 | 0.244073 | 0.24802 | 0.243227 | 0.24373 | 0.2424 
InterfModel=1 91 | 0.932566 | 0.245857 | 0.248179 | 0.242006 | 0.246146 | 0.240875 
InterfModel=1 92 | 0.932564 | 0.243961 | 0.248142 | 0.243686 | 0.244597 | 0.241818 
InterfModel=1 93 | 0.93251 | 0.245705 | 0.247426 | 0.241899 | 0.244866 | 0.241071 
InterfModel=1 94 | 0.932625 | 0.243953 | 0.247916 | 0.240803 | 0.244142 | 0.244566 
InterfModel=1 95 | 0.932505 | 0.244953 | 0.247162 | 0.241946 | 0.245891 | 0.240464 
InterfModel=1 96 | 0.932591 | 0.244395 | 0.247737 | 0.24292 | 0.245905 | 0.241853 
InterfModel=1 97 | 0.932502 | 0.244167 | 0.247503 | 0.242065 | 0.245698 | 0.242426 
InterfModel=1 98 | 0.932611 | 0.245657 | 0.248191 | 0.240727 | 0.245223 | 0.23964 
InterfModel=1 99 | 0.932624 | 0.245297 | 0.247696 | 0.242106 | 0.243659 | 0.240913 
InterfModel=2 0 | 0.932569 | 0.24433 | 0.248405 | 0.242572 | 0.245002 | 0.243005 
InterfModel=2 1 | 0.932499 | 0.245442 | 0.248213 | 0.242983 | 0.244708 | 0.241116 
InterfModel=2 2 | 0.93249 | 0.244201 | 0.247898 | 0.241622 | 0.244722 | 0.242047 
InterfModel=2 3 | 0.932476 | 0.244319 | 0.248406 | 0.241723 | 0.244089 | 0.24294 
InterfModel=2 4 | 0.932455 | 0.243852 | 0.247239 | 0.242039 | 0.245017 | 0.241518 
InterfModel=2 5 | 0.932489 | 0.24426 | 0.247734 | 0.241203 | 0.245135 | 0.241535 
InterfModel=2 6 | 0.932566 | 0.24353 | 0.248219 | 0.241793 | 0.246201 | 0.242245 
InterfModel=2 7 | 0.932556 | 0.244449 | 0.24761 | 0.241088 | 0.244727 | 0.242941 
InterfModel=2 8 | 0.932494 | 0.244815 | 0.247758 | 0.242128 | 0.244189 | 0.242019 
InterfModel=2 9 | 0.93253 | 0.244424 | 0.24802 | 0.242206 | 0.243774 | 0.241988 
InterfModel=2 10 | 0.93251 | 0.244611 | 0.247674 | 0.243315 | 0.245321 | 0.241761 
InterfModel=2 11 | 0.932533 | 0.244013 | 0.24845 | 0.241883 | 0.245925 | 0.242063 
InterfModel=2 12 | 0.932511 | 0.244518 | 0.247788 | 0.241597 | 0.244567 | 0.242722 
InterfModel=2 13 | 0.932581 | 0.24513 | 0.248163 | 0.240305 | 0.245902 | 0.241738 
InterfModel=2 14 | 0.932556 | 0.244874 | 0.247695 | 0.242566 | 0.245231 | 0.240788 
InterfModel=2 15 | 0.932495 | 0.24328 | 0.24778 | 0.241534 | 0.244584 | 0.242054 
InterfModel=2 16 | 0.932556 | 0.243137 | 0.248267 | 0.241877 | 0.244506 | 0.240612 
InterfModel=2 17 | 0.932492 | 0.245617 | 0.248415 | 0.240387 | 0.245597 | 0.2415 
InterfModel=2 18 | 0.932557 | 0.243784 | 0.248255 | 0.241125 | 0.245325 | 0.241061 
InterfModel=2 19 | 0.932467 | 0.244127 | 0.247733 | 0.242416 | 0.24284 | 0.243039 
InterfModel=2 20 | 0.93246 | 0.242903 | 0.247515 | 0.242499 | 0.243904 | 0.242664 
InterfModel=2 21 | 0.9325 | 0.245393 | 0.247971 | 0.241294 | 0.24439 | 0.242588 
InterfModel=2 22 | 0.932495 | 0.243942 | 0.247575 | 0.240529 | 0.245416 | 0.243079 
InterfModel=2 23 | 0.932463 | 0.244864 | 0.247901 | 0.240854 | 0.244114 | 0.241636 
