Modelo de colisao|repeticao|simulacao|nó sensor|PRR
0|42|0.2|nó 1|92.2307
0|43|0.2|nó 1|93.3311
0|44|0.2|nó 1|94.5649
0|45|0.2|nó 1|92.99770000000001
0|46|0.2|nó 1|92.5642
0|47|0.2|nó 1|92.4975
0|48|0.2|nó 1|92.4308
0|49|0.2|nó 1|93.29780000000001
0|50|0.2|nó 1|93.3311
0|51|0.2|nó 1|93.59790000000001
0|52|0.2|nó 1|92.8643
0|53|0.2|nó 1|92.7667
0|54|0.2|nó 1|92.9643
0|55|0.2|nó 1|93.3311
0|56|0.2|nó 1|93.23110000000001
0|57|0.2|nó 1|92.3975
0|58|0.2|nó 1|92.7643
0|59|0.2|nó 1|93.5312
0|60|0.2|nó 1|93.4645
0|61|0.2|nó 1|93.56450000000001
0|62|0.2|nó 1|93.23110000000001
0|63|0.2|nó 1|92.6667
0|64|0.2|nó 1|93.69790000000002
0|65|0.2|nó 1|93.29780000000001
0|66|0.2|nó 1|93.43110000000001
0|67|0.2|nó 1|93.5312
0|68|0.2|nó 1|92.9643
0|69|0.2|nó 1|92.3975
0|70|0.2|nó 1|93.59790000000001
0|71|0.2|nó 1|93.13100000000001
0|72|0.2|nó 1|92.0307
0|73|0.2|nó 1|92.63090000000001
0|74|0.2|nó 1|93.1644
0|75|0.2|nó 1|92.0974
0|76|0.2|nó 1|93.29780000000001
0|77|0.2|nó 1|93.86459999999998
0|78|0.2|nó 1|91.89729999999999
0|79|0.2|nó 1|93.6646
0|80|0.2|nó 1|93.99799999999999
0|81|0.2|nó 1|92.7976
0|82|0.2|nó 1|92.8
0|83|0.2|nó 1|93.8313
0|84|0.2|nó 1|93.3
0|85|0.2|nó 1|93.1644
0|86|0.2|nó 1|92.7643
0|87|0.2|nó 1|91.9973
0|88|0.2|nó 1|93.3978
0|89|0.2|nó 1|93.3645
0|90|0.2|nó 1|93.69790000000002
0|91|0.2|nó 1|92.99770000000001
0|92|0.2|nó 1|93.4645
0|93|0.2|nó 1|92.93100000000001
0|94|0.2|nó 1|93.7312
0|95|0.2|nó 1|93.0977
0|96|0.2|nó 1|93.2667
0|97|0.2|nó 1|93.9647
0|98|0.2|nó 1|93.4
0|99|0.2|nó 1|93.99799999999999
1|0|0.2|nó 1|85.49520000000001
1|1|0.2|nó 1|83.8613
1|2|0.2|nó 1|85.2
1|3|0.2|nó 1|86.2287
1|4|0.2|nó 1|85.9333
1|5|0.2|nó 1|84.12799999999999
1|6|0.2|nó 1|85.3618
1|7|0.2|nó 1|87.0957
1|8|0.2|nó 1|86.09540000000001
1|9|0.2|nó 1|85.2618
1|10|0.2|nó 1|83.8613
1|11|0.2|nó 1|86.52879999999999
1|12|0.2|nó 1|85.1284
1|13|0.2|nó 1|82.8943
1|14|0.2|nó 1|86.66219999999998
1|15|0.2|nó 1|83.46120000000002
1|16|0.2|nó 1|86.09540000000001
1|17|0.2|nó 1|85.49520000000001
1|18|0.2|nó 1|84.69489999999999
1|19|0.2|nó 1|85.52850000000001
1|20|0.2|nó 1|85.4618
1|21|0.2|nó 1|84.7616
1|22|0.2|nó 1|84.5615
1|23|0.2|nó 1|85.99530000000001
1|24|0.2|nó 1|84.6616
