CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=1 58 | 0.93253 | 0.244827 | 0.248222 | 0.239695 | 0.245339 | 0.24263 
InterfModel=1 59 | 0.932462 | 0.244805 | 0.248204 | 0.242168 | 0.24408 | 0.243612 
InterfModel=1 60 | 0.932551 | 0.246048 | 0.248886 | 0.243938 | 0.245549 | 0.241297 
InterfModel=1 61 | 0.932524 | 0.245004 | 0.248655 | 0.24097 | 0.244484 | 0.24134 
InterfModel=1 62 | 0.932479 | 0.244454 | 0.247654 | 0.243165 | 0.244752 | 0.243088 
InterfModel=1 63 | 0.932517 | 0.24489 | 0.248692 | 0.244237 | 0.246573 | 0.244167 
InterfModel=1 64 | 0.932533 | 0.245681 | 0.248029 | 0.244083 | 0.246074 | 0.243804 
InterfModel=1 65 | 0.932586 | 0.245226 | 0.248479 | 0.243126 | 0.245851 | 0.244282 
InterfModel=1 66 | 0.932536 | 0.244885 | 0.248655 | 0.244065 | 0.244985 | 0.243197 
InterfModel=1 67 | 0.932579 | 0.24595 | 0.248833 | 0.244034 | 0.245208 | 0.243014 
InterfModel=1 68 | 0.932516 | 0.243364 | 0.248641 | 0.242691 | 0.245456 | 0.241825 
InterfModel=1 69 | 0.932588 | 0.245136 | 0.248429 | 0.242518 | 0.246298 | 0.243784 
InterfModel=1 70 | 0.932588 | 0.245755 | 0.248422 | 0.242699 | 0.24603 | 0.243247 
InterfModel=1 71 | 0.932539 | 0.244455 | 0.248472 | 0.240758 | 0.246207 | 0.24184 
InterfModel=1 72 | 0.932481 | 0.245338 | 0.248823 | 0.242346 | 0.24573 | 0.242223 
InterfModel=1 73 | 0.932526 | 0.245925 | 0.248838 | 0.241297 | 0.245333 | 0.243519 
InterfModel=1 74 | 0.932571 | 0.245993 | 0.248772 | 0.243408 | 0.2444 | 0.241701 
InterfModel=1 75 | 0.932471 | 0.246064 | 0.248225 | 0.242409 | 0.246032 | 0.242843 
InterfModel=1 76 | 0.93244 | 0.245621 | 0.248126 | 0.241757 | 0.245436 | 0.243553 
InterfModel=1 77 | 0.932566 | 0.246559 | 0.248786 | 0.244559 | 0.245948 | 0.244295 
InterfModel=1 78 | 0.93256 | 0.245756 | 0.248459 | 0.243826 | 0.246016 | 0.2417 
InterfModel=1 79 | 0.932557 | 0.245656 | 0.24852 | 0.2437 | 0.24554 | 0.242044 
InterfModel=1 80 | 0.932567 | 0.24433 | 0.248341 | 0.24327 | 0.246071 | 0.242401 
InterfModel=1 81 | 0.932534 | 0.246035 | 0.24826 | 0.243512 | 0.24665 | 0.243377 
InterfModel=1 82 | 0.932566 | 0.246428 | 0.248645 | 0.243545 | 0.244715 | 0.242824 
InterfModel=1 83 | 0.932514 | 0.244852 | 0.248214 | 0.242266 | 0.244889 | 0.242558 
InterfModel=1 84 | 0.93247 | 0.245018 | 0.248644 | 0.242495 | 0.243693 | 0.242 
InterfModel=1 85 | 0.932486 | 0.244031 | 0.248245 | 0.241996 | 0.24597 | 0.243441 
InterfModel=1 86 | 0.932577 | 0.245365 | 0.248539 | 0.241078 | 0.245908 | 0.243741 
InterfModel=1 87 | 0.932566 | 0.245286 | 0.248636 | 0.243433 | 0.246561 | 0.242715 
InterfModel=1 88 | 0.93248 | 0.244905 | 0.248233 | 0.244626 | 0.245575 | 0.24332 
InterfModel=1 89 | 0.932501 | 0.24497 | 0.248294 | 0.242623 | 0.244725 | 0.243342 
InterfModel=1 90 | 0.932511 | 0.245302 | 0.248484 | 0.243233 | 0.244828 | 0.242457 
InterfModel=1 91 | 0.932522 | 0.246033 | 0.248117 | 0.243209 | 0.246773 | 0.243531 
InterfModel=1 92 | 0.932523 | 0.245731 | 0.248801 | 0.243163 | 0.246261 | 0.242222 
InterfModel=1 93 | 0.932467 | 0.244259 | 0.248085 | 0.241628 | 0.245844 | 0.241639 
InterfModel=1 94 | 0.932579 | 0.245189 | 0.248716 | 0.243917 | 0.245501 | 0.242837 
InterfModel=1 95 | 0.932462 | 0.243854 | 0.248303 | 0.242226 | 0.245641 | 0.243436 
InterfModel=1 96 | 0.93255 | 0.245085 | 0.24858 | 0.243195 | 0.245468 | 0.243808 
InterfModel=1 97 | 0.932463 | 0.24484 | 0.248685 | 0.243075 | 0.24445 | 0.243063 
InterfModel=1 98 | 0.932571 | 0.24565 | 0.248846 | 0.243811 | 0.246161 | 0.246048 
InterfModel=1 99 | 0.932579 | 0.245833 | 0.248495 | 0.243972 | 0.245483 | 0.243452 
InterfModel=2 0 | 0.932544 | 0.244952 | 0.24889 | 0.241989 | 0.245669 | 0.244049 
InterfModel=2 1 | 0.932479 | 0.244671 | 0.24833 | 0.244664 | 0.244842 | 0.243868 
InterfModel=2 2 | 0.932465 | 0.244137 | 0.248008 | 0.243117 | 0.245172 | 0.24212 
