CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=1 65 | 107.093 | 108.713 | 70.0305 | 52.7351 | 55.5833 
InterfModel=1 66 | 107.735 | 108.79 | 70.5055 | 53.2205 | 54.3496 
InterfModel=1 67 | 109.457 | 109.391 | 70.9614 | 52.399 | 54.0349 
InterfModel=1 68 | 108.104 | 107.598 | 71.0569 | 53.1289 | 54.308 
InterfModel=1 69 | 108.325 | 108.293 | 69.6364 | 52.5282 | 55.0699 
InterfModel=1 70 | 108.519 | 107.895 | 70.128 | 52.926 | 54.2081 
InterfModel=1 71 | 107.149 | 108.91 | 69.2645 | 51.3406 | 55.4517 
InterfModel=1 72 | 108.94 | 108.148 | 70.5051 | 52.1362 | 54.6552 
InterfModel=1 73 | 108.836 | 108.75 | 69.7399 | 52.9388 | 54.5959 
InterfModel=1 74 | 108.182 | 109.082 | 70.1627 | 53.0258 | 53.2751 
InterfModel=1 75 | 108.414 | 109.043 | 70.4889 | 51.9134 | 54.6913 
InterfModel=1 76 | 108.985 | 108.399 | 70.2995 | 52.6271 | 53.7731 
InterfModel=1 77 | 109.851 | 108.528 | 70.7686 | 53.6451 | 53.8769 
InterfModel=1 78 | 107.246 | 109.267 | 71.1794 | 51.956 | 54.5785 
InterfModel=1 79 | 107.517 | 109.052 | 70.7436 | 52.8875 | 53.9603 
InterfModel=1 80 | 108.13 | 108.853 | 69.7849 | 52.2551 | 54.8096 
InterfModel=1 81 | 108.001 | 108.259 | 70.5856 | 52.9541 | 55.2506 
InterfModel=1 82 | 108.897 | 108.746 | 70.5265 | 52.501 | 54.8531 
InterfModel=1 83 | 108.28 | 107.569 | 70.3959 | 53.0063 | 54.2475 
InterfModel=1 84 | 108.273 | 107.952 | 69.8825 | 51.6304 | 54.7606 
InterfModel=1 85 | 107.319 | 107.231 | 70.2318 | 53.5323 | 55.0238 
InterfModel=1 86 | 107.906 | 108.699 | 69.6596 | 52.8806 | 54.1256 
InterfModel=1 87 | 107.871 | 109.425 | 71.3094 | 53.8875 | 53.4195 
InterfModel=1 88 | 108.063 | 107.343 | 70.1402 | 52.657 | 55.0069 
InterfModel=1 89 | 107.375 | 107.879 | 70.2766 | 52.4463 | 55.4224 
InterfModel=1 90 | 107.008 | 107.53 | 70.2994 | 52.9546 | 54.8326 
InterfModel=1 91 | 107.722 | 108.118 | 70.8082 | 53.3751 | 53.2251 
InterfModel=1 92 | 107.669 | 109.457 | 70.058 | 51.9156 | 55.4324 
InterfModel=1 93 | 107.658 | 108.143 | 70.1762 | 53.0202 | 54.2561 
InterfModel=1 94 | 108.915 | 109.017 | 71.1535 | 52.9176 | 53.9048 
InterfModel=1 95 | 106.925 | 109.037 | 70.367 | 53.1884 | 53.5586 
InterfModel=1 96 | 106.874 | 109.28 | 70.6832 | 51.7945 | 55.6991 
InterfModel=1 97 | 106.885 | 108.167 | 70.8211 | 54.1822 | 52.8898 
InterfModel=1 98 | 108.998 | 108.634 | 71.0529 | 52.5272 | 55.7613 
InterfModel=1 99 | 108.112 | 109.162 | 70.7533 | 51.4149 | 55.4687 
InterfModel=2 0 | 105.732 | 102.917 | 69.184 | 48.8987 | 52.6808 
InterfModel=2 1 | 105.687 | 102.9 | 69.9321 | 49.3279 | 52.0378 
InterfModel=2 2 | 105.228 | 102.695 | 69.7747 | 48.7347 | 51.6834 
InterfModel=2 3 | 106.19 | 103.122 | 69.0071 | 49.3083 | 52.0059 
InterfModel=2 4 | 106.187 | 102.945 | 68.8228 | 49.363 | 51.0538 
InterfModel=2 5 | 104.418 | 103.175 | 69.3404 | 50.0599 | 50.9151 
InterfModel=2 6 | 105.343 | 103.451 | 70.0012 | 49.7644 | 51.394 
InterfModel=2 7 | 106.247 | 102.665 | 69.0691 | 49.5668 | 52.185 
InterfModel=2 8 | 105.828 | 102.432 | 68.9622 | 48.0197 | 53.1877 
InterfModel=2 9 | 105.894 | 102.97 | 69.9328 | 49.6463 | 52.1236 
InterfModel=2 10 | 105.389 | 103.55 | 69.5567 | 49.6436 | 51.2459 
InterfModel=2 11 | 105.529 | 103.14 | 69.2767 | 47.9899 | 53.8789 
InterfModel=2 12 | 105.056 | 102.832 | 68.4505 | 49.1393 | 52.6093 
InterfModel=2 13 | 106.089 | 103.824 | 69.4585 | 48.637 | 52.0103 
InterfModel=2 14 | 106.672 | 103.486 | 69.3872 | 50.4287 | 50.3886 
InterfModel=2 15 | 106.459 | 102.511 | 69.5764 | 49.5408 | 52.1231 
InterfModel=2 16 | 106.051 | 102.678 | 69.7981 | 48.1979 | 53.356 
InterfModel=2 17 | 106.322 | 102.697 | 69.2064 | 50.0881 | 51.1334 
InterfModel=2 18 | 105.62 | 102.925 | 68.871 | 50.3606 | 50.9986 
InterfModel=2 19 | 106.647 | 103.203 | 69.4983 | 49.5789 | 50.9969 
InterfModel=2 20 | 106.93 | 102.548 | 69.9154 | 48.7055 | 52.8531 
InterfModel=2 21 | 105.325 | 103.085 | 68.9514 | 49.9001 | 51.4792 
InterfModel=2 22 | 106.178 | 102.721 | 68.6033 | 50.579 | 51.4236 
InterfModel=2 23 | 105.202 | 102.306 | 69.5282 | 49.0601 | 52.3622 
InterfModel=2 24 | 105.887 | 103.103 | 68.7538 | 50.4962 | 51.5371 
InterfModel=2 25 | 106.645 | 103.131 | 69.8746 | 49.3786 | 51.8742 
InterfModel=2 26 | 105.727 | 102.623 | 70.0979 | 49.1781 | 52.4566 
InterfModel=2 27 | 106.526 | 103.439 | 69.3446 | 48.677 | 52.129 
InterfModel=2 28 | 105.572 | 102.49 | 69.4832 | 50.1777 | 50.7881 
InterfModel=2 29 | 106.452 | 103.963 | 69.8083 | 48.056 | 53.3614 
InterfModel=2 30 | 105.693 | 103.051 | 69.5973 | 49.2504 | 51.1249 
InterfModel=2 31 | 105.842 | 102.968 | 69.6965 | 49.0107 | 52.4994 
InterfModel=2 32 | 106.233 | 103.247 | 69.4425 | 48.8847 | 50.7812 
InterfModel=2 33 | 106.11 | 103.258 | 69.1157 | 49.8813 | 51.4975 
InterfModel=2 34 | 105.739 | 103.203 | 69.4663 | 49.5792 | 51.7439 
InterfModel=2 35 | 105.222 | 102.533 | 69.3624 | 49.2217 | 52.2022 
InterfModel=2 36 | 105.491 | 102.825 | 69.3923 | 48.9372 | 52.0894 
InterfModel=2 37 | 105.955 | 102.972 | 69.8129 | 48.333 | 52.7296 
InterfModel=2 38 | 105.437 | 102.991 | 68.9044 | 50.2036 | 51.4548 
InterfModel=2 39 | 105.234 | 102.808 | 69.607 | 48.99 | 52.5908 
InterfModel=2 40 | 106.391 | 103.38 | 69.3891 | 49.9514 | 51.7878 
InterfModel=2 41 | 105.671 | 103.511 | 68.9044 | 49.4707 | 51.5887 
InterfModel=2 42 | 105.577 | 102.091 | 69.3415 | 49.2587 | 51.6521 
InterfModel=2 43 | 105.305 | 102.945 | 69.5026 | 48.8099 | 52.2456 
InterfModel=2 44 | 105.99 | 102.458 | 69.9641 | 49.8625 | 51.8965 
InterfModel=2 45 | 106.112 | 103.357 | 68.5953 | 50.2147 | 51.3563 
InterfModel=2 46 | 105.827 | 103.419 | 68.9759 | 50.7077 | 50.5931 
InterfModel=2 47 | 105.033 | 102.499 | 69.4222 | 49.4269 | 52.1116 
InterfModel=2 48 | 105.639 | 103.276 | 69.8217 | 49.6356 | 51.7167 
InterfModel=2 49 | 105.402 | 102.881 | 69.225 | 48.6487 | 52.5711 
InterfModel=2 50 | 104.944 | 103.038 | 69.5708 | 49.6861 | 51.549 
InterfModel=2 51 | 105.619 | 102.43 | 69.5336 | 49.5545 | 51.6929 
InterfModel=2 52 | 105.981 | 102.544 | 69.4551 | 48.867 | 52.5829 
InterfModel=2 53 | 106.17 | 102.626 | 68.2222 | 49.1714 | 53.0408 
InterfModel=2 54 | 105.344 | 102.698 | 68.8722 | 49.273 | 52.9554 
InterfModel=2 55 | 105.624 | 103.299 | 70.232 | 49.5513 | 50.8521 
InterfModel=2 56 | 105.379 | 102.339 | 68.8151 | 49.1094 | 53.153 
InterfModel=2 57 | 108.094 | 102.919 | 68.9613 | 49.0093 | 52.392 
InterfModel=2 58 | 105.91 | 103.05 | 69.6927 | 50.0228 | 51.6726 
InterfModel=2 59 | 106.386 | 103.317 | 69.6403 | 49.0006 | 52.4416 
InterfModel=2 60 | 106.088 | 102.51 | 69.6009 | 49.9812 | 51.5017 
InterfModel=2 61 | 104.918 | 102.758 | 69.2482 | 49.3841 | 51.3199 
InterfModel=2 62 | 106.13 | 102.853 | 69.1563 | 49.0641 | 52.2147 
InterfModel=2 63 | 104.981 | 102.311 | 69.484 | 50.586 | 49.9967 
InterfModel=2 64 | 106.94 | 103.437 | 69.9226 | 50.0062 | 50.8089 
InterfModel=2 65 | 105.328 | 101.986 | 69.8167 | 49.4105 | 51.5629 
InterfModel=2 66 | 106.406 | 102.722 | 68.9861 | 50.5955 | 50.8581 
InterfModel=2 67 | 106.217 | 102.619 | 69.361 | 50.3138 | 51.1056 
InterfModel=2 68 | 105.438 | 102.821 | 69.3818 | 49.2675 | 51.3089 
InterfModel=2 69 | 105.287 | 103.052 | 69.9076 | 49.7632 | 51.418 
InterfModel=2 70 | 106.046 | 101.975 | 69.8308 | 49.015 | 52.3313 
InterfModel=2 71 | 106.57 | 103.293 | 69.4516 | 48.392 | 53.0303 
InterfModel=2 72 | 106.294 | 103.295 | 69.3819 | 50.0965 | 51.5052 
InterfModel=2 73 | 106.14 | 103.528 | 69.0868 | 49.3162 | 51.9837 
InterfModel=2 74 | 105.477 | 103.47 | 69.3093 | 49.123 | 51.7553 
InterfModel=2 75 | 106.613 | 102.618 | 69.8114 | 49.3422 | 52.0045 
InterfModel=2 76 | 104.963 | 102.766 | 69.3209 | 50.5685 | 50.5334 
InterfModel=2 77 | 106.25 | 103.082 | 69.2008 | 49.6129 | 51.2633 
InterfModel=2 78 | 106.482 | 103.257 | 69.4459 | 49.3898 | 51.9456 
InterfModel=2 79 | 105.954 | 102.96 | 69.5267 | 48.6015 | 52.1257 
InterfModel=2 80 | 105.546 | 102.913 | 69.3145 | 49.3476 | 51.728 
InterfModel=2 81 | 106.545 | 103.169 | 69.484 | 48.9674 | 52.4476 
InterfModel=2 82 | 107.725 | 103.092 | 68.9609 | 49.2425 | 52.4601 
InterfModel=2 83 | 104.054 | 102.677 | 69.6105 | 49.4556 | 51.9127 
InterfModel=2 84 | 106.627 | 102.887 | 69.6709 | 48.6524 | 52.1111 
InterfModel=2 85 | 106.279 | 102.453 | 70.2936 | 50.3078 | 51.6114 
InterfModel=2 86 | 105.947 | 102.879 | 68.8503 | 49.4226 | 51.2546 
InterfModel=2 87 | 105.505 | 103.417 | 68.77 | 48.9675 | 51.0268 
InterfModel=2 88 | 104.531 | 102.007 | 68.9636 | 49.2155 | 52.8312 
InterfModel=2 89 | 106.604 | 103.274 | 69.894 | 48.6826 | 52.3027 
InterfModel=2 90 | 107.477 | 102.4 | 69.0353 | 48.3846 | 52.2944 
InterfModel=2 91 | 106.244 | 102.13 | 69.3922 | 49.0747 | 51.4222 
InterfModel=2 92 | 107.084 | 103.482 | 69.5971 | 49.2968 | 51.5131 
InterfModel=2 93 | 105.908 | 103.277 | 69.266 | 49.4033 | 52.1666 
InterfModel=2 94 | 106.369 | 103.688 | 69.4746 | 49.7703 | 50.8657 
InterfModel=2 95 | 107.351 | 103.209 | 68.984 | 49.3172 | 51.5585 
InterfModel=2 96 | 104.717 | 102.985 | 69.522 | 49.2966 | 51.8995 
InterfModel=2 97 | 105.772 | 102.662 | 69.4962 | 49.4244 | 51.6531 
InterfModel=2 98 | 106.19 | 102.958 | 69.7436 | 50.0249 | 51.1658 
InterfModel=2 99 | 105.914 | 102.545 | 69.2428 | 48.684 | 52.3287 

