CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=3 20 | 2 | 23 | 269 | 3179 | 1024 
InterfModel=0,node=3 21 | 1 | 13 | 244 | 3141 | 1101 
InterfModel=0,node=3 22 | 5 | 21 | 243 | 3314 | 901 
InterfModel=0,node=3 23 | 4 | 17 | 212 | 3290 | 973 
InterfModel=0,node=3 24 | 31 | 17 | 225 | 3382 | 874 
InterfModel=0,node=3 25 | 5 | 19 | 247 | 3305 | 926 
InterfModel=0,node=3 26 | 6 | 15 | 291 | 3156 | 1031 
InterfModel=0,node=3 27 | 7 | 21 | 216 | 3368 | 877 
InterfModel=0,node=3 28 | 2 | 11 | 273 | 3130 | 1082 
InterfModel=0,node=3 29 | 14 | 25 | 267 | 3094 | 1108 
InterfModel=0,node=3 30 | 1 | 20 | 230 | 3251 | 995 
InterfModel=0,node=3 31 | 4 | 23 | 256 | 3213 | 1002 
InterfModel=0,node=3 32 | 24 | 18 | 282 | 3156 | 1013 
InterfModel=0,node=3 33 | 3 | 18 | 229 | 3273 | 977 
InterfModel=0,node=3 34 | 8 | 17 | 232 | 3239 | 1007 
InterfModel=0,node=3 35 | - | 20 | 255 | 3119 | 1093 
InterfModel=0,node=3 36 | - | 13 | 251 | 3319 | 913 
InterfModel=0,node=3 37 | - | 20 | 264 | 3307 | 899 
InterfModel=0,node=3 38 | - | 20 | 221 | 3348 | 907 
InterfModel=0,node=3 39 | - | 27 | 261 | 3244 | 958 
InterfModel=0,node=3 40 | - | 21 | 266 | 3238 | 956 
InterfModel=0,node=3 41 | - | 25 | 270 | 3177 | 1013 
InterfModel=0,node=3 42 | - | 14 | 209 | 3273 | 995 
InterfModel=0,node=3 43 | - | 22 | 260 | 3276 | 934 
InterfModel=0,node=3 44 | - | 17 | 244 | 3152 | 1052 
InterfModel=0,node=3 45 | - | 28 | 227 | 3255 | 985 
InterfModel=0,node=3 46 | - | 20 | 210 | 3365 | 881 
InterfModel=0,node=3 47 | - | 14 | 238 | 3301 | 944 
InterfModel=0,node=3 48 | - | 23 | 258 | 3122 | 1089 
InterfModel=0,node=3 49 | - | 15 | 220 | 3211 | 1044 
InterfModel=0,node=3 50 | - | 19 | 280 | 3219 | 975 
InterfModel=0,node=3 51 | - | 23 | 254 | 3183 | 1029 
InterfModel=0,node=3 52 | - | 22 | 254 | 3159 | 1053 
InterfModel=0,node=3 53 | - | 26 | 239 | 3176 | 1055 
InterfModel=0,node=3 54 | - | 16 | 253 | 3303 | 922 
InterfModel=0,node=3 55 | - | 17 | 270 | 3280 | 922 
InterfModel=0,node=3 56 | - | 14 | 232 | 3377 | 875 
InterfModel=0,node=3 57 | - | 12 | 211 | 3386 | 890 
InterfModel=0,node=3 58 | - | 21 | 250 | 3165 | 1060 
InterfModel=0,node=3 59 | - | 26 | 224 | 3222 | 1020 
InterfModel=0,node=3 60 | - | 20 | 241 | 3215 | 1021 
InterfModel=0,node=3 61 | - | 24 | 238 | 3202 | 1030 
InterfModel=0,node=3 62 | - | 21 | 212 | 3245 | 1017 
InterfModel=0,node=3 63 | - | 18 | 238 | 3125 | 1108 
InterfModel=0,node=3 64 | - | 23 | 270 | 3264 | 939 
InterfModel=0,node=3 65 | - | 16 | 228 | 3379 | 860 
InterfModel=0,node=3 66 | - | 22 | 262 | 3241 | 973 
InterfModel=0,node=3 67 | - | 20 | 290 | 3142 | 1037 
InterfModel=0,node=3 68 | - | 22 | 206 | 3343 | 920 
InterfModel=0,node=3 69 | - | 16 | 270 | 3160 | 1041 
InterfModel=0,node=3 70 | - | 19 | 202 | 3177 | 1095 
InterfModel=0,node=3 71 | - | 14 | 244 | 3249 | 958 
InterfModel=0,node=3 72 | - | 23 | 252 | 3322 | 888 
InterfModel=0,node=3 73 | - | 24 | 238 | 3294 | 927 
InterfModel=0,node=3 74 | - | 20 | 225 | 3320 | 919 
InterfModel=0,node=3 75 | - | 11 | 244 | 3272 | 968 
InterfModel=0,node=3 76 | - | 14 | 249 | 3139 | 1081 
InterfModel=0,node=3 77 | - | 16 | 216 | 3356 | 904 
InterfModel=0,node=3 78 | - | 19 | 250 | 3166 | 1060 
InterfModel=0,node=3 79 | - | 22 | 242 | 3245 | 983 
InterfModel=0,node=3 80 | - | 13 | 262 | 3214 | 1008 
InterfModel=0,node=3 81 | - | 15 | 247 | 3145 | 1089 
InterfModel=0,node=3 82 | - | 17 | 217 | 3323 | 923 
InterfModel=0,node=3 83 | - | 12 | 215 | 3283 | 969 
InterfModel=0,node=3 84 | - | 16 | 282 | 3216 | 981 
InterfModel=0,node=3 85 | - | 13 | 223 | 3384 | 865 
InterfModel=0,node=3 86 | - | 16 | 278 | 3214 | 991 
InterfModel=0,node=3 87 | - | 14 | 233 | 3360 | 889 
InterfModel=0,node=3 88 | - | 13 | 250 | 3174 | 1058 
InterfModel=0,node=3 89 | - | 22 | 272 | 3212 | 984 
InterfModel=0,node=3 90 | - | 21 | 232 | 3325 | 916 
InterfModel=0,node=3 91 | - | 23 | 225 | 3222 | 1013 
InterfModel=0,node=3 92 | - | 21 | 253 | 3219 | 1003 
InterfModel=0,node=3 93 | - | 19 | 272 | 3117 | 1085 
InterfModel=0,node=3 94 | - | 13 | 241 | 3257 | 947 
InterfModel=0,node=3 95 | - | 21 | 268 | 3328 | 879 
InterfModel=0,node=3 96 | - | 25 | 243 | 3208 | 1020 
InterfModel=0,node=3 97 | - | 22 | 206 | 3195 | 1066 
InterfModel=0,node=3 98 | - | 13 | 236 | 3257 | 981 
InterfModel=0,node=3 99 | - | 24 | 258 | 3070 | 1136 
InterfModel=0,node=4 0 | 1541 | 26 | 61 | 4704 | 1134 
InterfModel=0,node=4 1 | 1527 | 19 | 48 | 4631 | 1242 
InterfModel=0,node=4 2 | 1534 | 11 | 53 | 4709 | 1159 
InterfModel=0,node=4 3 | 1510 | 25 | 63 | 4684 | 1184 
InterfModel=0,node=4 4 | 1610 | 30 | 49 | 4624 | 1154 
InterfModel=0,node=4 5 | 1411 | 20 | 43 | 4750 | 1245 
InterfModel=0,node=4 6 | 1487 | 15 | 58 | 4888 | 1023 
InterfModel=0,node=4 7 | 1674 | 15 | 52 | 4709 | 1017 
InterfModel=0,node=4 8 | 1652 | 24 | 56 | 4657 | 1077 
InterfModel=0,node=4 9 | 1588 | 16 | 54 | 4676 | 1132 
InterfModel=0,node=4 10 | 1409 | 14 | 52 | 4885 | 1105 
InterfModel=0,node=4 11 | 1406 | 18 | 37 | 4992 | 1013 
InterfModel=0,node=4 12 | 1535 | 13 | 47 | 4815 | 1061 
InterfModel=0,node=4 13 | 1646 | 20 | 37 | 4566 | 1197 
InterfModel=0,node=4 14 | 1595 | 18 | 33 | 4818 | 1006 
InterfModel=0,node=4 15 | 1515 | 15 | 46 | 4736 | 1156 
InterfModel=0,node=4 16 | 1368 | 19 | 43 | 5014 | 1024 
InterfModel=0,node=4 17 | 1551 | 19 | 33 | 4862 | 1000 
InterfModel=0,node=4 18 | 1463 | 16 | 52 | 4776 | 1162 
InterfModel=0,node=4 19 | 1499 | 18 | 41 | 4774 | 1136 
InterfModel=0,node=4 20 | 1530 | 25 | 50 | 4848 | 1012 
InterfModel=0,node=4 21 | 1556 | 28 | 35 | 4744 | 1108 
InterfModel=0,node=4 22 | 1538 | 20 | 57 | 4614 | 1238 
InterfModel=0,node=4 23 | 1434 | 22 | 55 | 4718 | 1242 
InterfModel=0,node=4 24 | 1539 | 15 | 48 | 4751 | 1116 
InterfModel=0,node=4 25 | 1539 | 19 | 62 | 4636 | 1210 
InterfModel=0,node=4 26 | 1504 | 17 | 48 | 4809 | 1088 
InterfModel=0,node=4 27 | 1565 | 21 | 54 | 4628 | 1198 
InterfModel=0,node=4 28 | 1566 | 26 | 42 | 4821 | 1010 
InterfModel=0,node=4 29 | 1555 | 18 | 54 | 4686 | 1153 
InterfModel=0,node=4 30 | 1451 | 14 | 57 | 4684 | 1261 
InterfModel=0,node=4 31 | 1483 | 21 | 52 | 4876 | 1034 
InterfModel=0,node=4 32 | 1555 | 9 | 42 | 4728 | 1137 
InterfModel=0,node=4 33 | 1588 | 13 | 52 | 4528 | 1288 
InterfModel=0,node=4 34 | 1530 | 19 | 50 | 4648 | 1223 
InterfModel=0,node=4 35 | 1534 | 20 | 49 | 4710 | 1157 
InterfModel=0,node=4 36 | 1528 | 19 | 45 | 4875 | 1003 
InterfModel=0,node=4 37 | 1507 | 15 | 37 | 4762 | 1144 
InterfModel=0,node=4 38 | 1476 | 27 | 47 | 4725 | 1193 
InterfModel=0,node=4 39 | 1620 | 21 | 67 | 4533 | 1227 
InterfModel=0,node=4 40 | 1637 | 23 | 58 | 4502 | 1247 
InterfModel=0,node=4 41 | 1519 | 18 | 45 | 4693 | 1191 
InterfModel=0,node=4 42 | 1657 | 24 | 37 | 4678 | 1070 
InterfModel=0,node=4 43 | 1528 | 18 | 52 | 4693 | 1176 
InterfModel=0,node=4 44 | 1502 | 19 | 33 | 4928 | 984 
InterfModel=0,node=4 45 | 1556 | 17 | 39 | 4920 | 935 
InterfModel=0,node=4 46 | 1572 | 14 | 53 | 4605 | 1222 
InterfModel=0,node=4 47 | 1708 | 20 | 39 | 4712 | 990 
InterfModel=0,node=4 48 | 1558 | 27 | 56 | 4827 | 997 
InterfModel=0,node=4 49 | 1499 | 23 | 58 | 4782 | 1106 
InterfModel=0,node=4 50 | 1596 | 22 | 48 | 4662 | 1137 
InterfModel=0,node=4 51 | 1548 | 13 | 56 | 4875 | 975 
InterfModel=0,node=4 52 | 1523 | 14 | 46 | 4876 | 1012 
InterfModel=0,node=4 53 | 1521 | 19 | 53 | 4852 | 1021 
InterfModel=0,node=4 54 | 1579 | 24 | 49 | 4608 | 1206 
InterfModel=0,node=4 55 | 1527 | 13 | 48 | 4678 | 1200 
