CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=2 6 | 107.264 | 100.946 | 75.1463 | 53.8529 | 52.3756 
InterfModel=2 7 | 104.955 | 100.924 | 74.3099 | 54.0631 | 52.2053 
InterfModel=2 8 | 105.916 | 100.828 | 76.2814 | 54.0056 | 51.6496 
InterfModel=2 9 | 104.263 | 100.875 | 75.7327 | 54.9049 | 51.2235 
InterfModel=2 10 | 105.631 | 100.532 | 75.2089 | 54.001 | 51.5686 
InterfModel=2 11 | 104.816 | 100.997 | 73.9926 | 55.5145 | 51.3664 
InterfModel=2 12 | 105.197 | 100.484 | 74.0115 | 53.6033 | 53.2055 
InterfModel=2 13 | 107.792 | 101.453 | 78.3813 | 53.3453 | 50.5844 
InterfModel=2 14 | 106.011 | 100.912 | 74.3377 | 54.1863 | 51.3569 
InterfModel=2 15 | 105.64 | 100.601 | 77.4614 | 53.1897 | 51.8416 
InterfModel=2 16 | 105.63 | 100.722 | 76.558 | 53.8 | 51.0173 
InterfModel=2 17 | 105.415 | 101.094 | 73.9704 | 53.1537 | 52.6626 
InterfModel=2 18 | 106.455 | 101.556 | 75.3657 | 54.6024 | 51.0766 
InterfModel=2 19 | 106.442 | 100.566 | 75.7636 | 52.7809 | 51.774 
InterfModel=2 20 | 106.273 | 101.323 | 75.2919 | 53.371 | 52.2638 
InterfModel=2 21 | 106.63 | 100.973 | 75.4564 | 53.5077 | 52.1253 
InterfModel=2 22 | 106.686 | 100.599 | 73.3234 | 53.3247 | 53.0957 
InterfModel=2 23 | 105.589 | 101.507 | 76.0181 | 53.9316 | 51.6727 
InterfModel=2 24 | 106.206 | 100.607 | 75.078 | 55.591 | 50.9476 
InterfModel=2 25 | 106.636 | 100.918 | 72.5944 | 53.2217 | 53.5017 
InterfModel=2 26 | 106.495 | 100.677 | 72.003 | 54.1739 | 52.1752 
InterfModel=2 27 | 105.955 | 100.196 | 75.724 | 53.1522 | 51.8017 
InterfModel=2 28 | 105.954 | 101.305 | 74.1327 | 53.308 | 52.2695 
InterfModel=2 29 | 105.769 | 100.464 | 76.1797 | 54.741 | 49.9399 
InterfModel=2 30 | 104.859 | 101.153 | 75.4327 | 53.3105 | 51.6974 
InterfModel=2 31 | 105.264 | 101.035 | 77.3124 | 53.5683 | 52.0865 
InterfModel=2 32 | 105.137 | 100.479 | 76.8266 | 52.5444 | 52.5212 
InterfModel=2 33 | 105.731 | 100.938 | 74.5806 | 52.4977 | 51.7809 
InterfModel=2 34 | 106.388 | 100.674 | 76.7025 | 52.3236 | 53.2919 
InterfModel=2 35 | 105.758 | 100.01 | 78.0497 | 51.9306 | 53.1634 
InterfModel=2 36 | 106.842 | 100.836 | 75.925 | 53.3698 | 51.8343 
InterfModel=2 37 | 105.229 | 100.525 | 74.9263 | 54.1637 | 53.0351 
InterfModel=2 38 | 106.782 | 100.472 | 74.4497 | 54.0415 | 52.4403 
InterfModel=2 39 | 106.346 | 100.883 | 74.2622 | 53.9983 | 52.199 
InterfModel=2 40 | 105.473 | 100.667 | 76.5438 | 53.8853 | 51.7613 
InterfModel=2 41 | 106.131 | 101.246 | 76.4963 | 52.3902 | 52.7698 
InterfModel=2 42 | 105.964 | 100.368 | 74.8899 | 53.9496 | 51.2579 
InterfModel=2 43 | 106.001 | 100.985 | 73.9681 | 54.1722 | 51.6249 
InterfModel=2 44 | 106.075 | 100.717 | 72.0399 | 54.581 | 52.4152 
InterfModel=2 45 | 105.051 | 100.798 | 79.025 | 54.0467 | 50.9985 
InterfModel=2 46 | 106.443 | 100.605 | 80.0461 | 53.9448 | 50.365 
InterfModel=2 47 | 105.652 | 100.684 | 74.6108 | 55.015 | 51.3891 
InterfModel=2 48 | 105.377 | 100.755 | 74.2488 | 53.5502 | 52.1815 
InterfModel=2 49 | 105.708 | 101.121 | 75.9611 | 53.111 | 51.3419 
InterfModel=2 50 | 105.032 | 101.253 | 76.8307 | 53.6232 | 51.0164 
InterfModel=2 51 | 105.498 | 100.532 | 76.5826 | 52.9506 | 52.2209 
InterfModel=2 52 | 106.131 | 100.632 | 72.0733 | 53.575 | 52.5349 
InterfModel=2 53 | 104.836 | 100.613 | 74.277 | 53.4505 | 53.3731 
InterfModel=2 54 | 104.747 | 100.723 | 74.2569 | 52.4912 | 52.5748 
InterfModel=2 55 | 106.432 | 100.907 | 75.3582 | 54.0849 | 51.4817 
InterfModel=2 56 | 106.497 | 100.535 | 72.3729 | 54.5369 | 52.8648 
InterfModel=2 57 | 106.782 | 100.555 | 78.731 | 53.2857 | 50.395 
InterfModel=2 58 | 106.85 | 100.496 | 75.6149 | 52.986 | 52.5651 
InterfModel=2 59 | 106.352 | 100.716 | 75.2266 | 54.5446 | 51.2503 
InterfModel=2 60 | 105.474 | 100.819 | 77.2693 | 52.5647 | 52.1463 
InterfModel=2 61 | 106.938 | 101.046 | 76.7919 | 53.96 | 51.5485 
InterfModel=2 62 | 104.715 | 100.817 | 74.9246 | 53.8071 | 51.3599 
InterfModel=2 63 | 104.427 | 100.579 | 75.8584 | 53.9603 | 50.3319 
InterfModel=2 64 | 105.043 | 101.102 | 72.1892 | 54.457 | 52.902 
InterfModel=2 65 | 107.057 | 99.8555 | 74.6214 | 52.83 | 52.5861 
InterfModel=2 66 | 107.277 | 101.296 | 77.8346 | 53.4319 | 50.5643 
InterfModel=2 67 | 106.413 | 100.703 | 76.2718 | 53.9644 | 50.5568 
InterfModel=2 68 | 106.009 | 100.685 | 73.1089 | 54.5527 | 52.0019 
InterfModel=2 69 | 106.519 | 100.875 | 75.5224 | 51.8435 | 51.7141 
InterfModel=2 70 | 107.651 | 101.187 | 75.5147 | 54.0652 | 51.786 
InterfModel=2 71 | 106.116 | 100.789 | 75.7148 | 53.1546 | 51.6586 
InterfModel=2 72 | 105.113 | 101.073 | 72.5281 | 54.9097 | 51.7835 
InterfModel=2 73 | 106.224 | 101.303 | 76.0248 | 53.549 | 51.0444 
InterfModel=2 74 | 104.63 | 100.517 | 75.6585 | 53.2779 | 52.8814 
InterfModel=2 75 | 104.71 | 100.391 | 73.4814 | 54.3644 | 51.4724 
InterfModel=2 76 | 105.48 | 100.433 | 76.0951 | 54.0882 | 51.4681 
InterfModel=2 77 | 105.512 | 100.569 | 74.0359 | 54.0714 | 52.1093 
InterfModel=2 78 | 106.512 | 100.878 | 76.975 | 53.9887 | 51.6074 
InterfModel=2 79 | 105.79 | 100.994 | 74.7497 | 54.7933 | 51.3079 
InterfModel=2 80 | 106.043 | 100.879 | 74.6033 | 54.966 | 50.8323 
InterfModel=2 81 | 106.429 | 101.095 | 73.6234 | 53.7697 | 51.82 
InterfModel=2 82 | 105.343 | 100.508 | 74.8647 | 52.2044 | 52.6205 
InterfModel=2 83 | 106.527 | 100.553 | 72.0062 | 54.4291 | 51.516 
InterfModel=2 84 | 105.71 | 101.003 | 74.3212 | 54.3623 | 52.3059 
InterfModel=2 85 | 106.746 | 101.189 | 75.3919 | 54.5315 | 50.221 
InterfModel=2 86 | 105.53 | 101.513 | 72.8116 | 54.2758 | 52.1525 
InterfModel=2 87 | 106.421 | 101.342 | 76.7394 | 53.4183 | 51.9612 
InterfModel=2 88 | 106.487 | 100.418 | 75.6775 | 54.5098 | 51.0442 
InterfModel=2 89 | 105.66 | 101.091 | 75.2211 | 53.8712 | 51.4862 
InterfModel=2 90 | 106.391 | 100.915 | 75.6969 | 53.831 | 51.1341 
InterfModel=2 91 | 105.946 | 100.478 | 73.7631 | 53.6639 | 51.4725 
InterfModel=2 92 | 105.653 | 100.678 | 76.0399 | 53.7691 | 51.8726 
InterfModel=2 93 | 104.843 | 100.605 | 73.3032 | 53.8789 | 51.7161 
InterfModel=2 94 | 105.184 | 100.97 | 78.5764 | 54.327 | 50.7824 
InterfModel=2 95 | 104.864 | 100.72 | 72.626 | 54.1581 | 51.8498 
InterfModel=2 96 | 106.092 | 101.09 | 77.6666 | 54.0848 | 50.9715 
InterfModel=2 97 | 104.97 | 100.703 | 76.7801 | 52.0687 | 53.1203 
InterfModel=2 98 | 104.672 | 100.649 | 74.2051 | 55.1608 | 51.6825 
InterfModel=2 99 | 106.613 | 101.016 | 76.6179 | 52.6216 | 51.6442 

